customer_id,order_id,rating,feedback
1421,2303,4,"The expiration date was far out, and the product tasted incredibly fresh."
476,801,1,"The taste was awful, and the product was not fresh at all."
294,4927,3,The product arrived damaged due to poor packaging.
605,3394,5,I loved the taste; it was fresh and had a long expiration date.
1727,4576,3,The product arrived damaged due to poor packaging.
1181,3294,3,"The expiration date was far out, and the product tasted incredibly fresh."
1962,4200,5,"The quality, taste, and freshness of the product were impressive."
970,2182,3,I loved the taste; it was fresh and had a long expiration date.
1459,3740,5,"The freshness and taste were top-notch, and the expiration date was well in the future."
496,4461,2,"The product tasted bad and wasn't fresh, with an expiration date too soon."
313,442,3,"The delivery was late, and the package was slightly damaged."
1316,2448,3,I am very pleased with the product's taste and freshness; it is of high quality.
577,1651,4,"The expiration date was far out, and the product tasted incredibly fresh."
158,2522,3,Very satisfied with the purchase; the quality is outstanding and the product is very fresh.
332,1888,5,The delivery was quick and the packaging was secure.
403,2962,2,The product is not as described; the taste was very disappointing and not fresh.
153,4173,5,Great value for the price; the quality and freshness are excellent.
58,3713,3,The taste of the product exceeded my expectations; very fresh and delicious.
900,541,2,"The expiration date was too close, and the product tasted stale."
1939,3317,3,The taste of the product exceeded my expectations; very fresh and delicious.
388,3627,3,"The freshness and taste were top-notch, and the expiration date was well in the future."
1584,3050,2,The courier left the package at the wrong address.
734,1649,2,The product arrived with defects and did not work properly; the taste was bad and not fresh.
1799,742,2,"The delivery was late, and the package was slightly damaged."
1723,2535,4,"The freshness and taste were top-notch, and the expiration date was well in the future."
1272,3935,4,I was impressed with the speedy delivery and careful packaging.
518,4369,5,Great value for the price; the quality and freshness are excellent.
1584,2162,5,"The delivery was faster than expected, and the package was well protected."
1091,3208,4,"The courier was friendly, and the delivery arrived promptly."
90,1925,1,"Good value for the money, but the freshness could be better."
236,1944,3,The taste of the product exceeded my expectations; very fresh and delicious.
928,2634,4,The taste of the product exceeded my expectations; very fresh and delicious.
129,3402,1,"There was a mix-up with the delivery, and it took longer than expected."
632,630,1,The product arrived damaged due to poor packaging.
903,3108,4,I loved the taste; it was fresh and had a long expiration date.
1811,1704,1,"Quality is below average; I'm not satisfied with the purchase, and it wasn't fresh."
1669,4101,2,The product is not as described; the taste was very disappointing and not fresh.
464,1996,4,I was impressed with the speedy delivery and careful packaging.
226,3894,3,"The expiration date was far out, and the product tasted incredibly fresh."
1720,757,3,"The quality, taste, and freshness of the product were impressive."
122,1997,2,"Quality is below average; I'm not satisfied with the purchase, and it wasn't fresh."
1599,908,1,The courier left the package at the wrong address.
287,369,4,Great value for the price; the quality and freshness are excellent.
1089,636,2,The product arrived with defects and did not work properly; the taste was bad and not fresh.
1772,2307,2,The product is not as described; the taste was very disappointing and not fresh.
525,1385,5,"The product was fresh and delicious, with a satisfactory expiration date."
1114,4585,2,"Quality is below average; I'm not satisfied with the purchase, and it wasn't fresh."
725,4831,4,"The expiration date was far out, and the product tasted incredibly fresh."
1411,3265,4,I am very pleased with the product's taste and freshness; it is of high quality.
765,176,3,I loved the taste; it was fresh and had a long expiration date.
1988,3138,3,The taste of the product exceeded my expectations; very fresh and delicious.
20,988,3,Very satisfied with the purchase; the quality is outstanding and the product is very fresh.
698,3264,4,"The courier was friendly, and the delivery arrived promptly."
106,661,5,The product tastes great and the freshness is as described.
1548,4625,4,"The expiration date was far out, and the product tasted incredibly fresh."
803,1610,4,Great value for the price; the quality and freshness are excellent.
1137,4950,5,"The freshness and taste were top-notch, and the expiration date was well in the future."
1741,174,3,The courier left the package at the wrong address.
1894,4346,2,The product is not as described; the taste was very disappointing and not fresh.
1593,4601,5,"The quality, taste, and freshness of the product were impressive."
891,1175,5,The product tastes great and the freshness is as described.
1013,3920,2,Very disappointed with the taste and freshness of the product; the expiration date was near.
1690,3960,3,The product arrived damaged due to poor packaging.
1028,37,1,The product arrived damaged due to poor packaging.
32,4492,5,"The courier was friendly, and the delivery arrived promptly."
891,700,5,Great value for the price; the quality and freshness are excellent.
290,2365,1,"There was a mix-up with the delivery, and it took longer than expected."
423,2289,1,The product is not as described; the taste was very disappointing and not fresh.
271,3267,4,"The product was fresh and delicious, with a satisfactory expiration date."
874,791,4,I loved the taste; it was fresh and had a long expiration date.
51,3358,2,Very disappointed with the taste and freshness of the product; the expiration date was near.
194,1384,4,I am very pleased with the product's taste and freshness; it is of high quality.
633,4039,4,The product tastes great and the freshness is as described.
1950,2178,2,"There was a mix-up with the delivery, and it took longer than expected."
954,3673,3,"Delivery was delayed, but the product arrived in good condition."
686,1998,3,The product arrived damaged due to poor packaging.
1759,1973,2,Very disappointed with the taste and freshness of the product; the expiration date was near.
746,239,2,The product is not as described; the taste was very disappointing and not fresh.
1578,1493,4,The delivery was quick and the packaging was secure.
1322,2437,4,"The delivery was faster than expected, and the package was well protected."
1728,3502,4,The taste of the product exceeded my expectations; very fresh and delicious.
15,2177,1,"Quality is below average; I'm not satisfied with the purchase, and it wasn't fresh."
1201,4695,3,"The expiration date was far out, and the product tasted incredibly fresh."
549,1085,4,Great value for the price; the quality and freshness are excellent.
1792,2785,2,"Good value for the money, but the freshness could be better."
710,3981,4,The product tastes great and the freshness is as described.
96,4033,2,The product is not as described; the taste was very disappointing and not fresh.
1676,2633,2,"Quality is below average; I'm not satisfied with the purchase, and it wasn't fresh."
1265,4484,5,I was impressed with the speedy delivery and careful packaging.
1755,3934,3,The product arrived damaged due to poor packaging.
1514,4613,4,I was impressed with the speedy delivery and careful packaging.
347,254,1,"Good value for the money, but the freshness could be better."
777,857,3,"The expiration date was far out, and the product tasted incredibly fresh."
340,1387,2,Very disappointed with the taste and freshness of the product; the expiration date was near.
1002,3702,4,"The freshness and taste were top-notch, and the expiration date was well in the future."
87,3255,3,The product tastes great and the freshness is as described.
1966,2090,5,"The courier was friendly, and the delivery arrived promptly."
977,929,2,"Good value for the money, but the freshness could be better."
1662,2124,1,The product is not as described; the taste was very disappointing and not fresh.
1234,1460,2,Very disappointed with the taste and freshness of the product; the expiration date was near.
1024,2803,3,The product arrived damaged due to poor packaging.
467,1703,5,"The delivery was faster than expected, and the package was well protected."
1105,3535,4,I loved the taste; it was fresh and had a long expiration date.
1307,3163,1,"The product broke after a few uses; not worth the price, and it wasn't fresh."
936,304,3,I loved the taste; it was fresh and had a long expiration date.
1502,91,1,"The expiration date was too close, and the product tasted stale."
1570,1763,5,"The quality, taste, and freshness of the product were impressive."
1296,4753,5,I am very pleased with the product's taste and freshness; it is of high quality.
1182,3877,3,Great value for the price; the quality and freshness are excellent.
1849,1216,2,The courier left the package at the wrong address.
1791,3304,1,The courier left the package at the wrong address.
223,2701,2,The product is not as described; the taste was very disappointing and not fresh.
422,2374,2,The product is not as described; the taste was very disappointing and not fresh.
48,1653,2,"The taste was awful, and the product was not fresh at all."
491,166,3,"Delivery was delayed, but the product arrived in good condition."
